path,label,source,width,height,group,stratum
data/unified_waste/included/cardboard/garbage_classification__001455__f1eb535c652b.jpg,cardboard,garbage_classification,270,187,0,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001456__28c889926d04.jpg,cardboard,garbage_classification,578,578,1,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001457__853a8f85bbcb.jpg,cardboard,trashnet,512,384,2,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001458__b5170c57f1a9.jpg,cardboard,trashnet,512,384,3,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001459__5e554dc7336b.jpg,cardboard,garbage_classification,466,466,4,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001460__881c72988194.jpg,cardboard,garbage_classification,306,165,5,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001461__a043b05371e4.jpg,cardboard,garbage_classification,225,225,6,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001462__64a4c59ad81c.jpg,cardboard,garbage_classification,288,769,7,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001463__13589196770b.jpg,cardboard,garbage_classification,275,183,8,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001464__a0ac7643c05a.jpg,cardboard,garbage_classification,225,225,9,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001465__5d67f3905f02.jpg,cardboard,garbage_classification,268,188,10,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001466__0547c59e58ff.jpg,cardboard,garbage_classification,275,183,11,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001467__eb1fe0575785.jpg,cardboard,garbage_classification,180,180,12,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001468__6106eeff25c5.jpg,cardboard,garbage_classification,3024,4032,13,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001469__5c7a0149ecf3.jpg,cardboard,garbage_classification,158,318,14,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001470__ece9bd18a8f6.jpg,cardboard,garbage_classification,612,408,15,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001471__c0df2fc936f2.jpg,cardboard,garbage_classification,2400,2400,16,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001472__7f77aee8de39.jpg,cardboard,garbage_classification,474,296,17,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001473__66e49ada4309.jpg,cardboard,garbage_classification,600,600,18,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001474__71e925a24faf.jpg,cardboard,garbage_classification,250,250,19,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001475__bc37c922fa7c.jpg,cardboard,trashnet,512,384,20,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001476__236e44b34a21.jpg,cardboard,trashnet,512,384,21,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001477__c1eb543881ca.jpg,cardboard,trashnet,512,384,22,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001478__2d45bb22e1d0.jpg,cardboard,garbage_classification,470,470,23,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001479__66ee5d3422b5.jpg,cardboard,trashnet,512,384,24,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001480__cf565b13092d.jpg,cardboard,garbage_classification,316,527,25,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001481__f0149d678ef8.jpg,cardboard,garbage_classification,708,708,26,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001482__b3a444885806.jpg,cardboard,trashnet,512,384,27,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001483__622bcd75430d.jpg,cardboard,trashnet,512,384,28,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001484__0bc4a2cf8335.jpg,cardboard,garbage_classification,294,171,29,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001485__e3fb887c7953.jpg,cardboard,garbage_classification,251,201,30,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001486__90e903d020d3.jpg,cardboard,garbage_classification,225,225,31,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001487__a7ba46258f8c.jpg,cardboard,garbage_classification,702,1200,32,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001488__9059d998aaa0.jpg,cardboard,garbage_classification,217,232,33,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001489__2f7d3873c3a1.jpg,cardboard,trashnet,512,384,34,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001490__50c0ee3ba652.jpg,cardboard,garbage_classification,475,373,35,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001491__1d50eeb4df9b.jpg,cardboard,garbage_classification,474,296,36,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001492__3ae0c132f953.jpg,cardboard,trashnet,512,384,37,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001493__afe3a20f0b8a.jpg,cardboard,garbage_classification,253,200,38,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001494__c1cf0451bea0.jpg,cardboard,trashnet,512,384,39,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001495__f985cad8f858.jpg,cardboard,garbage_classification,225,225,40,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001496__2489ce9fc2ff.jpg,cardboard,garbage_classification,275,183,41,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001497__e3e0935a1f95.jpg,cardboard,trashnet,512,384,42,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001498__a4a882b07a0b.jpg,cardboard,garbage_classification,2000,2500,43,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001499__bf13eb408034.jpg,cardboard,garbage_classification,275,183,44,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001500__b731ef4847a9.jpg,cardboard,garbage_classification,225,225,45,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001501__64cf6d17d04b.jpg,cardboard,trashnet,512,384,46,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001502__13f562ad2b8f.jpg,cardboard,garbage_classification,550,550,47,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001503__bfcb56721bad.jpg,cardboard,trashnet,512,384,48,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001504__6671a57fd1ea.jpg,cardboard,garbage_classification,199,253,49,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001505__f1973cbb1697.jpg,cardboard,garbage_classification,225,225,50,cardboard|garbage_classification
